OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP_put,IV,VOLUME,CHNG IN OI,OI
"6,409","4,518","18,731",21.74,1.5,-0.3,"1,800",1.4,1.5,"4,450","20,900.00",300,"1,500.55","1,508.30",50,-60.35,"1,398.85",-,4,-1,28
837,549,"3,107",22.26,1.35,-0.4,"1,000",1.25,2.5,"1,800","20,950.00","1,500","1,505.35","1,598.40",150,-,"1,289.10",-,-,-,13
"76,179","43,923","94,990",22.97,1.4,-0.3,"5,150",1.4,1.45,"12,100","21,000.00",100,"1,598.80","1,607.15",100,32.9,"1,600.90",34.21,"1,120",-374,"8,130"
658,566,"2,983",23.49,1.35,0.15,"1,800",1.05,1.4,"1,600","21,050.00","1,500","1,571.45","1,724.45","1,500",-,-,-,-,-,-
"7,396","7,010","15,928",23.99,1.3,-0.3,"3,000",1.25,1.3,350,"21,100.00",400,"1,672.05","1,752.70",400,-,"1,181.05",-,-,-,1
411,219,"1,231",24.6,1.6,0.2,400,1.2,1.65,"1,000","21,150.00","1,500","1,668.40","1,808.40","1,000",-,-,-,-,-,-
"26,599","25,850","54,297",25.3,1.35,-0.2,"5,450",1.25,1.35,"1,250","21,200.00",200,"1,796.85","1,837.60",400,-,"1,661.00",-,-,-,28
"1,467",-32,"2,141",25.33,1,-0.65,"1,800",1,2.4,500,"21,250.00","1,500","1,764.75","1,914.55","1,500",-,-,-,-,-,-
"5,825","5,602","13,463",26.38,1.45,-0.1,500,1.1,1.75,"1,650","21,300.00",200,"1,898.00","1,948.00",50,-,"1,805.00",-,-,-,25
193,-33,"1,515",26.86,1.3,-,"2,500",0.9,1.3,350,"21,350.00","1,500","1,858.60","2,007.80","1,500",-,-,-,-,-,-
"7,295","7,048","14,293",27.44,1.25,-0.1,"2,150",1.25,1.4,700,"21,400.00",400,"1,970.65","2,050.25",400,-,-,-,-,-,-
"3,226","3,088","5,427",28.03,1.35,-0.35,500,1.25,1.35,"9,400","21,450.00","1,500","1,955.00","2,109.75","1,500",-,-,-,-,-,-
"39,760","25,524","55,224",28.23,1.2,-0.2,"19,000",1.15,1.2,"4,350","21,500.00",200,"2,098.00","2,109.45",600,-40.95,"2,018.45",-,106,-26,"1,741"
